time,low,high,open,close,volume
2024-01-30 17:47:00,0.996,0.998,0.998,0.996,10959.82
2024-01-30 17:42:00,0.998,0.999,0.998,0.999,5042.13
2024-01-30 17:35:00,0.998,0.998,0.998,0.998,171.0
2024-01-30 17:34:00,0.995,0.998,0.996,0.998,14000.28
2024-01-30 17:32:00,0.996,0.999,0.999,0.996,1544.13
2024-01-30 17:28:00,0.998,0.999,0.998,0.999,54.76
2024-01-30 17:26:00,0.999,0.999,0.999,0.999,1000.2
2024-01-30 17:25:00,0.999,1.0,0.999,0.999,78.95
2024-01-30 17:23:00,0.997,0.998,0.998,0.997,1003.0
2024-01-30 17:21:00,0.999,1.0,1.0,0.999,913.26
2024-01-30 17:20:00,1.0,1.0,1.0,1.0,1048.45
2024-01-30 17:19:00,1.0,1.001,1.0,1.0,389.06
2024-01-30 17:17:00,1.0,1.001,1.001,1.0,230.54
2024-01-30 17:16:00,1.0,1.002,1.002,1.0,22462.72
2024-01-30 17:15:00,1.002,1.002,1.002,1.002,998.41
2024-01-30 17:11:00,1.002,1.003,1.003,1.002,869.4
2024-01-30 17:10:00,1.003,1.004,1.004,1.003,1536.14
2024-01-30 17:05:00,1.002,1.002,1.002,1.002,2000.89
2024-01-30 17:01:00,1.002,1.002,1.002,1.002,194.35
2024-01-30 16:57:00,1.001,1.002,1.002,1.001,48.68
2024-01-30 16:54:00,1.001,1.003,1.003,1.001,1133.39
2024-01-30 16:51:00,1.003,1.004,1.003,1.004,594.35
2024-01-30 16:50:00,1.002,1.002,1.002,1.002,444.74
2024-01-30 16:49:00,1.001,1.002,1.001,1.002,1316.42
2024-01-30 16:45:00,1.001,1.001,1.001,1.001,262.72
2024-01-30 16:41:00,1.001,1.002,1.002,1.001,2.5
2024-01-30 16:37:00,1.001,1.002,1.001,1.002,3317.38
2024-01-30 16:33:00,1.0,1.001,1.0,1.001,2249.9
2024-01-30 16:31:00,0.999,1.0,0.999,1.0,1404.9
2024-01-30 16:26:00,0.998,0.998,0.998,0.998,8.49
